stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
6935,6935,AIRPORT BLVD @ GESSNER RD,,29.641984,-95.527718,,,,,0
6936,6936,GESSNER RD @ TRIPLE CROWN DR,,29.644058,-95.527663,,,,,0
6937,6937,GESSNER RD @ FAWN TERRACE DR,,29.646157,-95.52771,,,,,0
6938,6938,GESSNER RD @ DAWNRIDGE DR,,29.648142,-95.527741,,,,,0
6939,6939,AIRPORT BLVD @ MC LAIN BLVD,,29.641792,-95.518852,,,,,0
6940,6940,AIRPORT BLVD @ PREAKNESS WAY,,29.642853,-95.515335,,,,,0
6941,6941,AIRPORT BLVD @ KITTY BROOK DR,,29.644027,-95.512215,,,,,0
6943,6943,AIRPORT BLVD @ BRAESRIDGE DR,,29.644322,-95.509827,,,,,0
6944,6944,AIRPORT BLVD @ KITTY BROOK DR,,29.644206,-95.512467,,,,,0
6945,6945,AIRPORT BLVD @ PREAKNESS WAY,,29.643296,-95.515014,,,,,0
6946,6946,AIRPORT BLVD @ MC LAIN BLVD,,29.64203,-95.518479,,,,,0
6947,6947,AIRPORT BLVD @ FONDREN MEADOW DR,,29.641981,-95.52092,,,,,0
6948,6948,AIRPORT BLVD @ FONDREN RD,,29.644152,-95.507302,,,,,0
6949,6949,AIRPORT BLVD @ SANDPIPER DR,,29.644208,-95.503357,,,,,0
6950,6950,AIRPORT BLVD @ BOB WHITE DR,,29.64425,-95.500732,,,,,0
6951,6951,AIRPORT BLVD @ KIRKSIDE DR,,29.644318,-95.495682,,,,,0
6952,6952,AIRPORT BLVD @ HILLCROFT AVE,,29.644355,-95.493614,,,,,0
6953,6953,SOUTHWEST FREEWAY   @ BEECHNUT ST,,29.693602,-95.524681,,,,,0
6954,6954,SOUTHWEST FREEWAY   @ FONDREN RD,,29.6992,-95.518318,,,,,0
6955,6955,LOOP   @ TERMINAL ST,,29.724982,-95.460884,,,,,0
6956,6956,LOOP   @ LEHIGH ST,,29.722313,-95.460755,,,,,0
6957,6957,LOOP   @ GLENMONT DR,,29.720383,-95.460732,,,,,0
6958,6958,LOOP   @ MAYFAIR ST,,29.718966,-95.460716,,,,,0
6959,6959,MEYERLAND PLAZA,LOOP & BEECHNUT ST,29.687129,-95.459502,,,,,0
6960,6960,LOOP   @ JACKWOOD ST,,29.685428,-95.459473,,,,,0
6961,6961,LOOP   @ BRAESWOOD BLVD,,29.68221,-95.459427,,,,,0
6962,6962,BRAESWOOD BLVD @ ENDICOTT LN,,29.680731,-95.462173,,,,,0
6963,6963,BRAESWOOD BLVD @ RICE AVE,,29.679704,-95.467446,,,,,0
6964,6964,BRAESWOOD BLVD @ PRICHETT DR,,29.679351,-95.469513,,,,,0
6965,6965,BRAESWOOD BLVD @ FERRIS DR,,29.678966,-95.471718,,,,,0
6966,6966,BRAESWOOD BLVD @ MOONLIGHT DR,,29.678627,-95.473679,,,,,0
6967,6967,BRAESWOOD BLVD @ CHIMNEY ROCK RD,,29.678077,-95.476799,,,,,0
6968,6968,BRAESWOOD BLVD @ BRAESMONT DR,,29.677568,-95.478719,,,,,0
6969,6969,BRAESWOOD BLVD @ BURDINE ST,,29.676989,-95.480759,,,,,0
6970,6970,BRAESWOOD BLVD @ BURDINE ST,,29.676387,-95.482842,,,,,0
6971,6971,BRAESWOOD BLVD @ MULLINS DR,,29.675819,-95.486252,,,,,0
6972,6972,BRAESWOOD BLVD @ PONTIAC DR,,29.67733,-95.49006,,,,,0
6973,6973,BRAESWOOD BLVD @ HILLCROFT AVE,,29.678668,-95.49263,,,,,0
6974,6974,BRAESWOOD BLVD @ DUNLAP ST,,29.679084,-95.49421,,,,,0
6975,6975,BRAESWOOD BLVD @ BRAEWICK DR,,29.679439,-95.497261,,,,,0
6976,6976,BRAESWOOD BLVD @ BRAESWOOD BLVD,,29.678404,-95.498817,,,,,0
6977,6977,BRAESWOOD BLVD @ ALBURY DR,,29.677423,-95.500023,,,,,0
6978,6978,BRAESWOOD BLVD @ BOB WHITE DR,,29.676781,-95.503471,,,,,0
6979,6979,BRAESWOOD BLVD @ LARKWOOD DR,,29.675781,-95.506905,,,,,0
6980,6980,BRAESWOOD BLVD @ FONDREN RD,,29.675759,-95.508369,,,,,0
6981,6981,BRAESWOOD BLVD @ BRAESRIDGE DR,,29.674661,-95.51281,,,,,0
6982,6982,BRAESWOOD BLVD @ BRAES BAYOU DR,,29.673251,-95.515495,,,,,0
6983,6983,BRAESWOOD BLVD @ MURRAY BROOK DR,,29.672346,-95.518791,,,,,0
6984,6984,BRAESWOOD BLVD @ BRAESCREEK DR,,29.671528,-95.52446,,,,,0
6985,6985,BRAESWOOD BLVD @ GESSNER RD,,29.671472,-95.527939,,,,,0
6986,6986,BRAESWOOD BLVD @ SAPLING WAY,,29.672467,-95.532875,,,,,0
6987,6987,BRAESWOOD BLVD @ BRAEBURN GLEN BLVD,,29.673826,-95.534462,,,,,0
6988,6988,BRAESWOOD BLVD @ BARGER RD,,29.675292,-95.536049,,,,,0
6989,6989,BISSONNET ST @ BRAESWOOD BLVD,,29.67621,-95.534626,,,,,0
6990,6990,BISSONNET ST @ BRAEBURN GLEN BLVD,,29.676252,-95.532692,,,,,0
6991,6991,BISSONNET ST @ GESSNER RD,,29.677883,-95.526154,,,,,0
6992,6992,BISSONNET ST @ GESSNER RD,,29.679119,-95.523712,,,,,0
6993,6993,BISSONNET ST @ BRAE ACRES RD,,29.680144,-95.521675,,,,,0
6994,6994,BISSONNET ST @ BRAEBURN VALLEY DR,,29.681698,-95.518593,,,,,0
6995,6995,BISSONNET ST @ BRAEBURN VALLEY DR,,29.682714,-95.516586,,,,,0
6996,6996,BISSONNET ST @ RUE CRILLON DR,,29.683648,-95.514733,,,,,0
6997,6997,BISSONNET ST @ BONHOMME RD,,29.684655,-95.512726,,,,,0
6998,6998,BISSONNET ST @ LUGARY DR,,29.686083,-95.509896,,,,,0
6999,6999,BISSONNET ST @ LARKWOOD DR,,29.687197,-95.507769,,,,,0
7000,7000,BISSONNET ST @ LARKWOOD DR,,29.688687,-95.504791,,,,,0
7001,7001,BISSONNET ST @ BEECHNUT ST,,29.689346,-95.503529,,,,,0
7002,7002,BISSONNET ST @ ALBACORE DR,,29.690908,-95.500488,,,,,0
7003,7003,BISSONNET ST @ BRAEWICK DR,,29.692622,-95.497131,,,,,0
7004,7004,BISSONNET ST @ DUNLAP ST,,29.693758,-95.494904,,,,,0
7005,7005,BISSONNET ST @ HILLCROFT AVE,,29.694598,-95.493255,,,,,0
7006,7006,BISSONNET ST @ ASHCROFT DR,,29.695548,-95.491386,,,,,0
7007,7007,BISSONNET ST @ RAMPART ST,,29.696769,-95.489044,,,,,0
7008,7008,BISSONNET ST @ MULLINS DR,,29.697998,-95.486661,,,,,0
7009,7009,BISSONNET ST @ RENWICK DR,,29.698836,-95.485008,,,,,0
7010,7010,BISSONNET ST @ ATWELL DR,,29.699893,-95.482918,,,,,0
7011,7011,BISSONNET ST @ ALDER DR,,29.701076,-95.480599,,,,,0
7012,7012,BISSONNET ST @ CHETWOOD DR,,29.702298,-95.478225,,,,,0
7013,7013,BISSONNET ST @ CHIMNEY ROCK RD,,29.703138,-95.476562,,,,,0
7014,7014,BISSONNET ST @ MAPLERIDGE ST,,29.70427,-95.474335,,,,,0
7015,7015,BISSONNET ST @ LOCUST ST,,29.708849,-95.46537,,,,,0
7016,7016,BISSONNET ST @ 1ST ST,,29.710342,-95.462425,,,,,0
7017,7017,BISSONNET ST @ LOOP,,29.711046,-95.461045,,,,,0
7018,7018,BISSONNET ST @ 1ST ST,,29.710704,-95.462082,,,,,0
